Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
PTK2,-36.73778771051429,5,PTM-SEA,0.8947368421052632,4,TK,FAK,FAK,PTK2
MAP2K7,0,21,PTM-SEA,0,1,STE,STE7,MEK7,MAP2K7
JAK2,14.917615922248013,14,PTM-SEA,0.6578947368421053,3,TK,JAKA,JAKA,JAK2
MAP3K6,0,21,PTM-SEA,0,1,STE,STE11,ASK,MAP3K6
ABL1,30.870811578679348,9,PTM-SEA,0.7894736842105263,4,TK,ABL,ABL,ABL1
EGFR,36.917953710109146,4,PTM-SEA,0.9210526315789473,4,TK,EGFR,EGFR,EGFR
INSR,-1.6166652037496245,20,PTM-SEA,0.5,3,TK,INSR,INSR,INSR
LCK,-28.661823072689945,10,PTM-SEA,0.7631578947368421,4,TK,SRC,SRCB,LCK
FYN,-32.50157694288937,8,PTM-SEA,0.8157894736842105,4,TK,SRC,SRCA,FYN
YES1,0,21,PTM-SEA,0,1,TK,SRC,SRCA,YES1
LYN,21.691548362689485,13,PTM-SEA,0.6842105263157895,3,TK,SRC,SRCB,LYN
RET,-14.828058171209747,15,PTM-SEA,0.631578947368421,3,TK,RET,RET,RET
IGF1R,0,21,PTM-SEA,0,1,TK,INSR,INSR,IGF1R
MET,-3.7266569760862582,19,PTM-SEA,0.5263157894736842,3,TK,MET,MET,MET
PDGFRB,-11.00757806653602,16,PTM-SEA,0.6052631578947368,3,TK,PDGFR,PDGFR,PDGFRB
FGR,0,21,PTM-SEA,0,1,TK,SRC,SRCA,FGR
SRC,10.93831474649588,17,PTM-SEA,0.5789473684210527,3,TK,SRC,SRCA,SRC
FLT1,0,21,PTM-SEA,0,1,TK,VEGFR,VEGFR,FLT1
FGFR3,0,21,PTM-SEA,0,1,TK,FGFR,FGFR,FGFR3
JAK1,-36.514048464997515,6,PTM-SEA,0.868421052631579,4,TK,JAKA,JAKA,JAK1
TYK2,0,21,PTM-SEA,0,1,TK,JAKA,JAKA,TYK2
FLT4,0,21,PTM-SEA,0,1,TK,VEGFR,VEGFR,FLT4
KDR,21.78603205072785,12,PTM-SEA,0.7105263157894737,3,TK,VEGFR,VEGFR,KDR
MAP2K2,0,21,PTM-SEA,0,1,STE,STE7,MEK1,MAP2K2
CSK,0,21,PTM-SEA,0,1,TK,CSK,CSK,CSK
SYK,45.37543638548717,3,PTM-SEA,0.9473684210526315,4,TK,SYK,SYK,SYK
MAP2K4,35.737493592391836,7,PTM-SEA,0.8421052631578947,4,STE,STE7,MEK4,MAP2K4
MAP2K3,0,21,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K3
BMX,-28.466666666666665,11,PTM-SEA,0.7368421052631579,3,TK,TEC,TEC,BMX
MAP2K6,0,21,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K6
EPHA4,0,21,PTM-SEA,0,1,TK,EPH,EPH,EPHA4
MAP2K1,-48.09246264052145,1,PTM-SEA,1,4,STE,STE7,MEK1,MAP2K1
MST1R,0,21,PTM-SEA,0,1,TK,MET,MET,MST1R
ITK,-46.03655605516255,2,PTM-SEA,0.9736842105263158,4,TK,TEC,TEC,ITK
DYRK1A,0,21,PTM-SEA,0,1,CMGC,DYRK,DYRK1,DYRK1A
PTK6,8.860852927637627,18,PTM-SEA,0.5526315789473685,3,TK,SRC,SRM,PTK6
ERBB4,0,21,PTM-SEA,0,1,TK,EGFR,EGFR,ERBB4
MAP3K5,0,21,PTM-SEA,0,1,STE,STE11,ASK,MAP3K5
ALK,0,21,PTM-SEA,0,1,TK,ALK,ALK,ALK
AAK1,248,234,KEA3,0.1657142857142857,1,OTHER,NAK,BIKE,AAK1
ABL1,59.666666666666664,32,KEA3,0.8942857142857142,4,TK,ABL,ABL,ABL1
ABL2,93.33333333333333,83,KEA3,0.6971428571428572,3,TK,ABL,ABL,ABL2
ACVR1,139,137,KEA3,0.49142857142857144,2,TKL,STKR,TYPE1,ACVR1
ACVR1B,189.5,185,KEA3,0.34,2,TKL,STKR,TYPE1,ACVR1B
ACVR2B,211,205,KEA3,0.2714285714285714,2,TKL,STKR,TYPE2,ACVR2B
AKT1,87.66666666666667,76,KEA3,0.7285714285714285,3,AGC,AKT,AKT,AKT1
AKT2,96.66666666666667,89,KEA3,0.6685714285714286,3,AGC,AKT,AKT,AKT2
AKT3,233,219,KEA3,0.21428571428571427,1,AGC,AKT,AKT,AKT3
ALK,62,35,KEA3,0.8857142857142857,4,TK,ALK,ALK,ALK
ARAF,71,43,KEA3,0.8571428571428571,4,TKL,RAF,RAF,ARAF
ATM,82,65,KEA3,0.7714285714285715,4,ATYPICAL,PIKK,ATM,ATM
ATR,75.66666666666667,52,KEA3,0.8257142857142857,4,ATYPICAL,PIKK,ATR,ATR
AURKA,97.66666666666667,90,KEA3,0.6657142857142857,3,OTHER,AUR,AUR,AURKA
AURKB,77,55,KEA3,0.8142857142857143,4,OTHER,AUR,AUR,AURKB
AURKC,184.5,180,KEA3,0.35428571428571426,2,OTHER,AUR,AUR,AURKC
AXL,161,159,KEA3,0.42,2,TK,AXL,AXL,AXL
BLK,258,244,KEA3,0.13428571428571429,1,TK,SRC,SRCB,BLK
BMP2K,326,280,KEA3,0.03142857142857143,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,114.5,112,KEA3,0.5771428571428572,3,TKL,STKR,TYPE1,BMPR1A
BMPR1B,102,94,KEA3,0.6428571428571429,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,209.5,203,KEA3,0.27714285714285714,2,TKL,STKR,TYPE2,BMPR2
BMX,91.66666666666667,80,KEA3,0.7114285714285714,3,TK,TEC,TEC,BMX
BRAF,168.5,165,KEA3,0.40285714285714286,2,TKL,RAF,RAF,BRAF
BRSK1,224,212,KEA3,0.24,1,CAMK,CAMKL,BRSK,BRSK1
BRSK2,308,267,KEA3,0.06857142857142857,1,CAMK,CAMKL,BRSK,BRSK2
BTK,61,34,KEA3,0.8885714285714286,4,TK,TEC,TEC,BTK
BUB1,173.5,169,KEA3,0.3914285714285714,2,OTHER,BUB,BUB,BUB1
CAMK1,190.33333333333334,187,KEA3,0.3314285714285714,2,CAMK,CAMK1,CAMK1,CAMK1
CAMK1D,251.5,238,KEA3,0.15428571428571428,1,CAMK,CAMK1,CAMK1,CAMK1D
CAMK2A,63.333333333333336,37,KEA3,0.8771428571428571,4,CAMK,CAMK2,CAMK2,CAMK2A
CAMK2B,243,229,KEA3,0.18285714285714286,1,CAMK,CAMK2,CAMK2,CAMK2B
CAMK2D,108.33333333333333,104,KEA3,0.6114285714285714,3,CAMK,CAMK2,CAMK2,CAMK2D
CAMK2G,64,39,KEA3,0.8714285714285714,4,CAMK,CAMK2,CAMK2,CAMK2G
CAMK4,89,77,KEA3,0.7228571428571429,3,CAMK,CAMK1,CAMK1,CAMK4
CAMKK1,155.33333333333334,155,KEA3,0.43142857142857144,2,OTHER,CAMKK,META,CAMKK1
CAMKK2,185,181,KEA3,0.3514285714285714,2,OTHER,CAMKK,META,CAMKK2
CDC42BPA,262,248,KEA3,0.12285714285714286,1,AGC,DMPK,GEK,CDC42BPA
CDC7,198.5,194,KEA3,0.3057142857142857,2,OTHER,CDC7,CDC7,CDC7
CDK1,108,103,KEA3,0.6142857142857143,3,CMGC,CDK,CDC2,CDK1
CDK11A,332,284,KEA3,0.02,1,CMGC,CDK,CDK11,CDK11A
CDK11A,332,284,KEA3,0.02,1,NA,NA,NA,CDK11A
CDK12,318,275,KEA3,0.045714285714285714,1,CMGC,CDK,CRK7,CDK12
CDK15,181,178,KEA3,0.3628571428571429,2,CMGC,CDK,PFTAIRE,CDK15
CDK16,10,2,KEA3,0.9942857142857143,4,CMGC,CDK,PCTAIRE,CDK16
