Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,-45.132053493971206,10,PTM-SEA,0.8360655737704918,4,AGC,SGK,SGK,SGK1
PIK3C2A,0,41,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,-54.298628204637545,9,PTM-SEA,0.8524590163934426,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,-16.665050333164015,28,PTM-SEA,0.45901639344262296,2,OTHER,AUR,AUR,AURKA
DAPK3,0,41,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK3
RPS6KA5,3.1829501466953625,38,PTM-SEA,0.29508196721311475,2,AGC,RSK,MSK,RPS6KA5
CHEK2,0,41,PTM-SEA,0,1,CAMK,RAD53,RAD53,CHEK2
RAF1,-3.2023649605128446,37,PTM-SEA,0.3114754098360656,2,TKL,RAF,RAF,RAF1
PRKCB,-39.963110624684816,13,PTM-SEA,0.7868852459016393,4,AGC,PKC,ALPHA,PRKCB
CDK1,-61.82684092793761,8,PTM-SEA,0.8688524590163934,4,CMGC,CDK,CDC2,CDK1
ARAF,18.539972005128057,27,PTM-SEA,0.47540983606557374,2,TKL,RAF,RAF,ARAF
PIM1,28.053092041719236,21,PTM-SEA,0.5901639344262295,3,CAMK,PIM,PIM,PIM1
CDK4,-92.88487653321583,2,PTM-SEA,0.9672131147540983,4,CMGC,CDK,CDK4,CDK4
SRC,0,41,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,18.539972005128057,27,PTM-SEA,0.47540983606557374,2,TKL,RAF,RAF,BRAF
PRKCA,-0.8170515062553734,40,PTM-SEA,0.26229508196721313,2,AGC,PKC,ALPHA,PRKCA
PRKACA,43.83473774458424,11,PTM-SEA,0.819672131147541,4,AGC,PKA,PKA,PRKACA
PRKACG,31.988494402560573,17,PTM-SEA,0.6557377049180327,3,AGC,PKA,PKA,PRKACG
PRKACB,31.988494402560573,17,PTM-SEA,0.6557377049180327,3,AGC,PKA,PKA,PRKACB
RPS6KB1,-10.975778775734463,32,PTM-SEA,0.39344262295081966,2,AGC,RSK,P70,RPS6KB1
CDK2,-70.63319664829325,6,PTM-SEA,0.9016393442622951,4,CMGC,CDK,CDC2,CDK2
MAPK3,-13.602842264812734,30,PTM-SEA,0.4262295081967213,2,CMGC,MAPK,ERK1,MAPK3
MAPK1,-10.871097139812434,33,PTM-SEA,0.3770491803278688,2,CMGC,MAPK,ERK1,MAPK1
AKT1,31.03934613184515,19,PTM-SEA,0.6229508196721312,3,AGC,AKT,AKT,AKT1
AKT2,25.03922440085079,23,PTM-SEA,0.5573770491803278,3,AGC,AKT,AKT,AKT2
MAP3K8,-33.57560706980355,15,PTM-SEA,0.7377049180327869,3,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,31.988494402560573,17,PTM-SEA,0.6557377049180327,3,AGC,PKC,IOTA,PRKCI
MTOR,0,41,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,0,41,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK8
MAPKAPK2,-33.57560706980355,15,PTM-SEA,0.7377049180327869,3,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
GSK3B,31.20011504772955,18,PTM-SEA,0.639344262295082,3,CMGC,GSK,GSK,GSK3B
CDK9,-92.91999999999999,1,PTM-SEA,0.9836065573770492,4,CMGC,CDK,CDK9,CDK9
RPS6KA3,-18.885653066397094,26,PTM-SEA,0.5081967213114754,3,AGC,RSK,RSK,RPS6KA3
NEK2,0,41,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
DAPK1,0,41,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK1
PRKAA2,81.56982683029092,5,PTM-SEA,0.9180327868852459,4,CAMK,CAMKL,AMPK,PRKAA2
CSNK2A1,0,41,PTM-SEA,0,1,CMGC,CK2,CK2,CSNK2A1
ATM,0,41,PTM-SEA,0,1,ATYPICAL,PIKK,ATM,ATM
AURKB,-39.32857256688543,14,PTM-SEA,0.7704918032786885,4,OTHER,AUR,AUR,AURKB
CDK3,0,41,PTM-SEA,0,1,CMGC,CDK,CDC2,CDK3
CDK6,-92.91999999999999,1,PTM-SEA,0.9836065573770492,4,CMGC,CDK,CDK4,CDK6
CDK5,-86.97692884926289,3,PTM-SEA,0.9508196721311475,4,CMGC,CDK,CDK5,CDK5
PRKCE,32.607299978519364,16,PTM-SEA,0.7213114754098361,3,AGC,PKC,ETA,PRKCE
PRKCQ,-12.422071629354303,31,PTM-SEA,0.4098360655737705,2,AGC,PKC,DELTA,PRKCQ
PRKCZ,-25.152305579277538,22,PTM-SEA,0.5737704918032787,3,AGC,PKC,IOTA,PRKCZ
PRKCD,-7.885616707376959,34,PTM-SEA,0.36065573770491804,2,AGC,PKC,DELTA,PRKCD
PRKAA1,-7.734157920837924,35,PTM-SEA,0.3442622950819672,2,CAMK,CAMKL,AMPK,PRKAA1
PAK1,3.3300245867402563,36,PTM-SEA,0.32786885245901637,2,STE,STE20,PAKA,PAK1
PRKG2,-14.926707171423732,29,PTM-SEA,0.4426229508196721,2,AGC,PKG,PKG,PRKG2
ROCK1,0,41,PTM-SEA,0,1,AGC,DMPK,ROCK,ROCK1
DYRK1A,0,41,PTM-SEA,0,1,CMGC,DYRK,DYRK1,DYRK1A
PRKG1,69.57710085013245,7,PTM-SEA,0.8852459016393442,4,AGC,PKG,PKG,PRKG1
PRKD1,40.91506579143223,12,PTM-SEA,0.8032786885245902,4,CAMK,PKD,PKD,PRKD1
RPS6KA2,86.10724855642832,4,PTM-SEA,0.9344262295081968,4,AGC,RSK,RSK,RPS6KA2
RPS6KA1,22.019893052501857,24,PTM-SEA,0.5409836065573771,3,AGC,RSK,RSK,RPS6KA1
PKN1,3.015178626116598,39,PTM-SEA,0.2786885245901639,2,AGC,PKN,PKN,PKN1
MAPK14,0,41,PTM-SEA,0,1,CMGC,MAPK,P38,MAPK14
PIM3,31.988494402560573,17,PTM-SEA,0.6557377049180327,3,CAMK,PIM,PIM,PIM3
VRK1,0,41,PTM-SEA,0,1,CK1,VRK,VRK,VRK1
NEK6,0,41,PTM-SEA,0,1,OTHER,NEK,NEK6,NEK6
PIM2,29.889864514217127,20,PTM-SEA,0.6065573770491803,3,CAMK,PIM,PIM,PIM2
AKT3,21.901946845858667,25,PTM-SEA,0.5245901639344263,3,AGC,AKT,AKT,AKT3
AAK1,298,277,KEA3,0.1,1,OTHER,NAK,BIKE,AAK1
ABL1,28.666666666666668,11,KEA3,0.9685714285714285,4,TK,ABL,ABL,ABL1
ABL2,124.66666666666667,124,KEA3,0.5742857142857143,3,TK,ABL,ABL,ABL2
ACVR1,134.5,140,KEA3,0.52,3,TKL,STKR,TYPE1,ACVR1
ACVR1B,132.5,136,KEA3,0.5342857142857143,3,TKL,STKR,TYPE1,ACVR1B
ACVR2B,211,222,KEA3,0.2742857142857143,2,TKL,STKR,TYPE2,ACVR2B
AKT1,23,9,KEA3,0.9742857142857143,4,AGC,AKT,AKT,AKT1
AKT2,46.333333333333336,29,KEA3,0.9114285714285715,4,AGC,AKT,AKT,AKT2
AKT3,76,60,KEA3,0.8114285714285714,4,AGC,AKT,AKT,AKT3
ALK,36,18,KEA3,0.9457142857142857,4,TK,ALK,ALK,ALK
ARAF,82,70,KEA3,0.7771428571428571,4,TKL,RAF,RAF,ARAF
ATM,113.33333333333333,111,KEA3,0.6228571428571429,3,ATYPICAL,PIKK,ATM,ATM
ATR,77.66666666666667,62,KEA3,0.8057142857142857,4,ATYPICAL,PIKK,ATR,ATR
AURKA,50,31,KEA3,0.9057142857142857,4,OTHER,AUR,AUR,AURKA
AURKB,111.33333333333333,110,KEA3,0.6285714285714286,3,OTHER,AUR,AUR,AURKB
AURKC,185,197,KEA3,0.3457142857142857,2,OTHER,AUR,AUR,AURKC
AXL,200.5,214,KEA3,0.29714285714285715,2,TK,AXL,AXL,AXL
BLK,256,250,KEA3,0.17714285714285713,1,TK,SRC,SRCB,BLK
BMP2K,324,299,KEA3,0.037142857142857144,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,133.5,137,KEA3,0.5314285714285715,3,TKL,STKR,TYPE1,BMPR1A
BMPR1B,108,107,KEA3,0.6457142857142857,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,222.5,233,KEA3,0.2342857142857143,1,TKL,STKR,TYPE2,BMPR2
BMX,106.33333333333333,104,KEA3,0.6571428571428571,3,TK,TEC,TEC,BMX
BRAF,64.5,47,KEA3,0.8571428571428571,4,TKL,RAF,RAF,BRAF
BRSK1,223.66666666666666,235,KEA3,0.22857142857142856,1,CAMK,CAMKL,BRSK,BRSK1
BRSK2,303,282,KEA3,0.08571428571428572,1,CAMK,CAMKL,BRSK,BRSK2
BTK,73.33333333333333,56,KEA3,0.8257142857142857,4,TK,TEC,TEC,BTK
BUB1,157.5,162,KEA3,0.4542857142857143,2,OTHER,BUB,BUB,BUB1
CAMK1,100.66666666666666,93,KEA3,0.6942857142857143,3,CAMK,CAMK1,CAMK1,CAMK1
CAMK1D,243.5,244,KEA3,0.20285714285714285,1,CAMK,CAMK1,CAMK1,CAMK1D
CAMK2A,50.666666666666664,33,KEA3,0.9,4,CAMK,CAMK2,CAMK2,CAMK2A
CAMK2B,183.5,196,KEA3,0.3485714285714286,2,CAMK,CAMK2,CAMK2,CAMK2B
CAMK2D,88.66666666666667,77,KEA3,0.7542857142857143,4,CAMK,CAMK2,CAMK2,CAMK2D
CAMK2G,40,22,KEA3,0.9342857142857143,4,CAMK,CAMK2,CAMK2,CAMK2G
CAMK4,87,75,KEA3,0.7628571428571429,4,CAMK,CAMK1,CAMK1,CAMK4
CAMKK1,115.33333333333333,113,KEA3,0.6171428571428571,3,OTHER,CAMKK,META,CAMKK1
CAMKK2,170,176,KEA3,0.4114285714285714,2,OTHER,CAMKK,META,CAMKK2
CDC42BPA,283,267,KEA3,0.12857142857142856,1,AGC,DMPK,GEK,CDC42BPA
CDC7,198.5,212,KEA3,0.3028571428571429,2,OTHER,CDC7,CDC7,CDC7
CDK1,39,21,KEA3,0.9371428571428572,4,CMGC,CDK,CDC2,CDK1
CDK11A,332,305,KEA3,0.02,1,CMGC,CDK,CDK11,CDK11A
CDK11A,332,305,KEA3,0.02,1,NA,NA,NA,CDK11A
CDK12,314,292,KEA3,0.05714285714285714,1,CMGC,CDK,CRK7,CDK12
CDK15,263,254,KEA3,0.1657142857142857,1,CMGC,CDK,PFTAIRE,CDK15
CDK16,248,247,KEA3,0.18571428571428572,1,CMGC,CDK,PCTAIRE,CDK16
CDK18,252,249,KEA3,0.18,1,CMGC,CDK,PCTAIRE,CDK18
CDK19,104,98,KEA3,0.6742857142857143,3,CMGC,CDK,CDK8,CDK19
CDK2,31.333333333333332,13,KEA3,0.9628571428571429,4,CMGC,CDK,CDC2,CDK2
CDK20,207,220,KEA3,0.28,2,CMGC,CDK,CCRK,CDK20
CDK3,119.33333333333333,119,KEA3,0.5885714285714285,3,CMGC,CDK,CDC2,CDK3
CDK4,67.33333333333333,52,KEA3,0.84,4,CMGC,CDK,CDK4,CDK4
CDK5,36.666666666666664,19,KEA3,0.9428571428571428,4,CMGC,CDK,CDK5,CDK5
CDK6,88.66666666666667,77,KEA3,0.7542857142857143,4,CMGC,CDK,CDK4,CDK6
CDK7,73.33333333333333,56,KEA3,0.8257142857142857,4,CMGC,CDK,CDK7,CDK7
CDK8,194,209,KEA3,0.31142857142857144,2,CMGC,CDK,CDK8,CDK8
CDK9,120.33333333333333,120,KEA3,0.5857142857142857,3,CMGC,CDK,CDK9,CDK9
CDKL3,302,281,KEA3,0.08857142857142856,1,CMGC,CDKL,CDKL,CDKL3
CDKL5,86,74,KEA3,0.7657142857142857,4,CMGC,CDKL,CDKL,CDKL5
CHEK1,58.666666666666664,39,KEA3,0.8828571428571429,4,CAMK,CAMKL,CHK1,CHEK1
CHEK2,119.33333333333333,119,KEA3,0.5885714285714285,3,CAMK,RAD53,RAD53,CHEK2
CHUK,44,27,KEA3,0.92,4,OTHER,IKK,IKK,CHUK
CLK1,166,171,KEA3,0.42857142857142855,2,CMGC,CLK,CLK,CLK1
CLK2,105.5,102,KEA3,0.6628571428571428,3,CMGC,CLK,CLK,CLK2
CLK3,185.5,198,KEA3,0.34285714285714286,2,CMGC,CLK,CLK,CLK3
CLK4,320,297,KEA3,0.04285714285714286,1,CMGC,CLK,CLK,CLK4
CSF1R,162,169,KEA3,0.4342857142857143,2,TK,PDGFR,PDGFR,CSF1R
CSK,174,183,KEA3,0.38857142857142857,2,TK,CSK,CSK,CSK
CSNK1A1,104.33333333333333,99,KEA3,0.6714285714285714,3,CK1,CK1,CK1-A,CSNK1A1
CSNK1A1L,337,310,KEA3,0.005714285714285714,1,CK1,CK1,CK1-A,CSNK1A1L
CSNK1D,79,63,KEA3,0.8,4,CK1,CK1,CK1-D,CSNK1D
CSNK1E,134,139,KEA3,0.5228571428571429,3,CK1,CK1,CK1-D,CSNK1E
CSNK1G1,144.5,149,KEA3,0.49142857142857144,2,CK1,CK1,CK1-G,CSNK1G1
CSNK1G2,222,232,KEA3,0.24,1,CK1,CK1,CK1-G,CSNK1G2
CSNK1G3,260,252,KEA3,0.17142857142857143,1,CK1,CK1,CK1-G,CSNK1G3
CSNK2A1,88.33333333333333,76,KEA3,0.76,4,CMGC,CK2,CK2,CSNK2A1
CSNK2A2,127,127,KEA3,0.5628571428571428,3,CMGC,CK2,CK2,CSNK2A2
DAPK1,177.33333333333334,187,KEA3,0.3742857142857143,2,CAMK,DAPK,DAPK,DAPK1
