Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,0,33,PTM-SEA,0,1,AGC,SGK,SGK,SGK1
PIK3C2A,0,33,PTM-SEA,0,1,NA,NA,NA,PIK3C2A
CHEK1,50.69096543025208,12,PTM-SEA,0.8135593220338984,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,1.7514839226502517,30,PTM-SEA,0.3389830508474576,2,OTHER,AUR,AUR,AURKA
RPS6KA5,41.3047920111893,16,PTM-SEA,0.7457627118644068,3,AGC,RSK,MSK,RPS6KA5
CHEK2,57.84191405205903,6,PTM-SEA,0.9152542372881356,4,CAMK,RAD53,RAD53,CHEK2
RAF1,23.065842013123316,22,PTM-SEA,0.6440677966101694,3,TKL,RAF,RAF,RAF1
PRKCB,71.84605219609422,1,PTM-SEA,1,4,AGC,PKC,ALPHA,PRKCB
CDK1,61.36444357088426,3,PTM-SEA,0.9661016949152542,4,CMGC,CDK,CDC2,CDK1
ARAF,-1.7561312740059674,29,PTM-SEA,0.3559322033898305,2,TKL,RAF,RAF,ARAF
PIM1,-2.745657995412967,27,PTM-SEA,0.423728813559322,2,CAMK,PIM,PIM,PIM1
CDK4,50.990275044574695,11,PTM-SEA,0.8305084745762712,4,CMGC,CDK,CDK4,CDK4
SRC,0,33,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,-1.7561312740059674,29,PTM-SEA,0.3559322033898305,2,TKL,RAF,RAF,BRAF
PRKCA,-0.8211272165460142,31,PTM-SEA,0.3220338983050847,2,AGC,PKC,ALPHA,PRKCA
PRKACA,-20.29262917199419,24,PTM-SEA,0.6101694915254238,3,AGC,PKA,PKA,PRKACA
PRKACG,-2.745657995412967,27,PTM-SEA,0.423728813559322,2,AGC,PKA,PKA,PRKACG
PRKACB,-2.745657995412967,27,PTM-SEA,0.423728813559322,2,AGC,PKA,PKA,PRKACB
RPS6KB1,-36.576794230358644,19,PTM-SEA,0.6949152542372882,3,AGC,RSK,P70,RPS6KB1
CDK2,54.28239110601961,8,PTM-SEA,0.8813559322033898,4,CMGC,CDK,CDC2,CDK2
MAPK3,52.13152770635383,10,PTM-SEA,0.847457627118644,4,CMGC,MAPK,ERK1,MAPK3
MAPK1,47.02277114382568,14,PTM-SEA,0.7796610169491526,4,CMGC,MAPK,ERK1,MAPK1
AKT1,-38.89768743461311,18,PTM-SEA,0.711864406779661,3,AGC,AKT,AKT,AKT1
AKT2,-0.7072485549926164,32,PTM-SEA,0.3050847457627119,2,AGC,AKT,AKT,AKT2
MAP3K8,0,33,PTM-SEA,0,1,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
PRKCI,-2.745657995412967,27,PTM-SEA,0.423728813559322,2,AGC,PKC,IOTA,PRKCI
MTOR,0,33,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,0,33,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK8
MAPKAPK2,42.5784441909729,15,PTM-SEA,0.7627118644067796,4,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
CDK9,18.711428571428566,25,PTM-SEA,0.576271186440678,3,CMGC,CDK,CDK9,CDK9
RPS6KA3,27.69620023520126,20,PTM-SEA,0.6779661016949152,3,AGC,RSK,RSK,RPS6KA3
NEK2,0,33,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
PRKAA2,-58.87115517426879,5,PTM-SEA,0.9322033898305084,4,CAMK,CAMKL,AMPK,PRKAA2
CSNK2A1,0,33,PTM-SEA,0,1,CMGC,CK2,CK2,CSNK2A1
AURKB,15.326692247853128,26,PTM-SEA,0.559322033898305,3,OTHER,AUR,AUR,AURKB
CDK3,0,33,PTM-SEA,0,1,CMGC,CDK,CDC2,CDK3
CDK6,18.711428571428566,25,PTM-SEA,0.576271186440678,3,CMGC,CDK,CDK4,CDK6
CDK5,47.26006508229631,13,PTM-SEA,0.7966101694915254,4,CMGC,CDK,CDK5,CDK5
PRKCE,-2.745657995412967,27,PTM-SEA,0.423728813559322,2,AGC,PKC,ETA,PRKCE
PRKCQ,54.647999849228725,7,PTM-SEA,0.8983050847457628,4,AGC,PKC,DELTA,PRKCQ
PRKCZ,0,33,PTM-SEA,0,1,AGC,PKC,IOTA,PRKCZ
PRKCD,0,33,PTM-SEA,0,1,AGC,PKC,DELTA,PRKCD
PRKAA1,-39.19072979386998,17,PTM-SEA,0.7288135593220338,3,CAMK,CAMKL,AMPK,PRKAA1
PAK1,23.313017915403545,21,PTM-SEA,0.6610169491525424,3,STE,STE20,PAKA,PAK1
PRKG2,-2.509332603463103,28,PTM-SEA,0.4067796610169492,2,AGC,PKG,PKG,PRKG2
ROCK1,0,33,PTM-SEA,0,1,AGC,DMPK,ROCK,ROCK1
ATR,0,33,PTM-SEA,0,1,ATYPICAL,PIKK,ATR,ATR
PRKG1,-53.6497414981158,9,PTM-SEA,0.864406779661017,4,AGC,PKG,PKG,PRKG1
PRKD1,-2.745657995412967,27,PTM-SEA,0.423728813559322,2,CAMK,PKD,PKD,PRKD1
RPS6KA2,-60.64603006436907,4,PTM-SEA,0.9491525423728814,4,AGC,RSK,RSK,RPS6KA2
RPS6KA1,-21.776853188526758,23,PTM-SEA,0.6271186440677966,3,AGC,RSK,RSK,RPS6KA1
PKN1,66.523681814348,2,PTM-SEA,0.9830508474576272,4,AGC,PKN,PKN,PKN1
MAPK14,0,33,PTM-SEA,0,1,CMGC,MAPK,P38,MAPK14
PIM3,-2.745657995412967,27,PTM-SEA,0.423728813559322,2,CAMK,PIM,PIM,PIM3
BRSK2,0,33,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK2
BRSK1,0,33,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK1
PLK3,0,33,PTM-SEA,0,1,OTHER,PLK,PLK2,PLK3
NEK6,0,33,PTM-SEA,0,1,OTHER,NEK,NEK6,NEK6
PIM2,-2.745657995412967,27,PTM-SEA,0.423728813559322,2,CAMK,PIM,PIM,PIM2
AKT3,-1.7561312740059674,29,PTM-SEA,0.3559322033898305,2,AGC,AKT,AKT,AKT3
AAK1,301,268,KEA3,0.08857142857142856,1,OTHER,NAK,BIKE,AAK1
ABL1,50,31,KEA3,0.9028571428571428,4,TK,ABL,ABL,ABL1
ABL2,147,149,KEA3,0.48857142857142855,2,TK,ABL,ABL,ABL2
ACVR1,80,63,KEA3,0.7828571428571428,4,TKL,STKR,TYPE1,ACVR1
ACVR1B,193,199,KEA3,0.3057142857142857,2,TKL,STKR,TYPE1,ACVR1B
ACVR2B,214,211,KEA3,0.26857142857142857,2,TKL,STKR,TYPE2,ACVR2B
AKT1,43.666666666666664,25,KEA3,0.92,4,AGC,AKT,AKT,AKT1
AKT2,44.333333333333336,27,KEA3,0.9142857142857143,4,AGC,AKT,AKT,AKT2
AKT3,63,40,KEA3,0.8742857142857143,4,AGC,AKT,AKT,AKT3
ALK,44.5,28,KEA3,0.9114285714285715,4,TK,ALK,ALK,ALK
ARAF,130.5,125,KEA3,0.5628571428571428,3,TKL,RAF,RAF,ARAF
ATM,132.33333333333334,128,KEA3,0.5514285714285714,3,ATYPICAL,PIKK,ATM,ATM
ATR,97,85,KEA3,0.7114285714285714,3,ATYPICAL,PIKK,ATR,ATR
AURKA,21.666666666666668,10,KEA3,0.9685714285714285,4,OTHER,AUR,AUR,AURKA
AURKB,28,13,KEA3,0.9571428571428572,4,OTHER,AUR,AUR,AURKB
AURKC,186,193,KEA3,0.32857142857142857,2,OTHER,AUR,AUR,AURKC
AXL,204,207,KEA3,0.28285714285714286,2,TK,AXL,AXL,AXL
BLK,259.5,239,KEA3,0.17142857142857143,1,TK,SRC,SRCB,BLK
BMP2K,327,289,KEA3,0.02857142857142857,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,139.5,138,KEA3,0.52,3,TKL,STKR,TYPE1,BMPR1A
BMPR1B,123,117,KEA3,0.5942857142857143,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,164,170,KEA3,0.4114285714285714,2,TKL,STKR,TYPE2,BMPR2
BMX,155.66666666666666,159,KEA3,0.44857142857142857,2,TK,TEC,TEC,BMX
BRAF,132.5,129,KEA3,0.5485714285714286,3,TKL,RAF,RAF,BRAF
BRSK1,135,134,KEA3,0.5314285714285715,3,CAMK,CAMKL,BRSK,BRSK1
BRSK2,307,274,KEA3,0.07142857142857142,1,CAMK,CAMKL,BRSK,BRSK2
BTK,76,56,KEA3,0.8057142857142857,4,TK,TEC,TEC,BTK
BUB1,176.5,181,KEA3,0.37142857142857144,2,OTHER,BUB,BUB,BUB1
CAMK1,183,190,KEA3,0.33714285714285713,2,CAMK,CAMK1,CAMK1,CAMK1
CAMK1D,245.5,231,KEA3,0.19714285714285715,1,CAMK,CAMK1,CAMK1,CAMK1D
CAMK2A,62.666666666666664,39,KEA3,0.8771428571428571,4,CAMK,CAMK2,CAMK2,CAMK2A
CAMK2B,141.5,142,KEA3,0.5085714285714286,3,CAMK,CAMK2,CAMK2,CAMK2B
CAMK2D,93.33333333333333,81,KEA3,0.7257142857142858,3,CAMK,CAMK2,CAMK2,CAMK2D
CAMK2G,10,2,KEA3,0.9971428571428571,4,CAMK,CAMK2,CAMK2,CAMK2G
CAMK4,93.66666666666667,82,KEA3,0.7228571428571429,3,CAMK,CAMK1,CAMK1,CAMK4
CAMKK1,160.33333333333334,166,KEA3,0.42857142857142855,2,OTHER,CAMKK,META,CAMKK1
CAMKK2,133,131,KEA3,0.54,3,OTHER,CAMKK,META,CAMKK2
CDC42BPA,284,255,KEA3,0.12571428571428572,1,AGC,DMPK,GEK,CDC42BPA
CDC7,200.5,202,KEA3,0.29714285714285715,2,OTHER,CDC7,CDC7,CDC7
CDK1,25.5,12,KEA3,0.9628571428571429,4,CMGC,CDK,CDC2,CDK1
CDK11A,333,293,KEA3,0.017142857142857144,1,CMGC,CDK,CDK11,CDK11A
CDK11A,333,293,KEA3,0.017142857142857144,1,NA,NA,NA,CDK11A
